Taxon,TaxonGroup,Abundance,GridRef
Callophrys rubi,insect - butterfly,1,SD66721253
Callophrys rubi,insect - butterfly,1,SD66751253
Callophrys rubi,insect - butterfly,3,SD66761253
Callophrys rubi,insect - butterfly,2,SD66781252
Pieris napi,insect - butterfly,1,SD66901253
Callophrys rubi,insect - butterfly,1,SD66541267
Callophrys rubi,insect - butterfly,1,SD66491268
Inachis io,insect - butterfly,1,SD65411204
Inachis io,insect - butterfly,1,SD65111216
Inachis io,insect - butterfly,1,SD65441199
Inachis io,insect - butterfly,1,SD65511191
Polygonia c-album,insect - butterfly,1,SD65541188
Pieris napi,insect - butterfly,1,SD65571175
Anthocharis cardamines,insect - butterfly,1,SD65541179
Pieris brassicae,insect - butterfly,1,SD65531179
Anthocharis cardamines,insect - butterfly,1,SD65531179
Anthocharis cardamines,insect - butterfly,1,SD65431208
Inachis io,insect - butterfly,1,SD65431208
Pararge aegeria,insect - butterfly,1,SD65221200
Pieris napi,insect - butterfly,1,SD65231138
Pieris napi,insect - butterfly,1,SD65311139
Anthocharis cardamines,insect - butterfly,1,SD65321103
Pieris napi,insect - butterfly,10,SD65331104
Pieris napi,insect - butterfly,1,SD65321102
Anthocharis cardamines,insect - butterfly,1,SD65481089
Pieris napi,insect - butterfly,1,SD65541086
Anthocharis cardamines,insect - butterfly,1,SD65681079
Pararge aegeria,insect - butterfly,1,SD65691079
Anthocharis cardamines,insect - butterfly,1,SD65691079
Pararge aegeria,insect - butterfly,1,SD65711087
Pararge aegeria,insect - butterfly,1,SD65781097
Aglais urticae,insect - butterfly,1,SD65911125
Pieris napi,insect - butterfly,1,SD66521189
Pieris napi,insect - butterfly,1,SD66801204
Pieris napi,insect - butterfly,12,SD66831210
Pieris napi,insect - butterfly,10,SD66691222
Pieris napi,insect - butterfly,1,SD66551235
Callophrys rubi,insect - butterfly,2,SD66281253
Callophrys rubi,insect - butterfly,2,SD66281253
Inachis io,insect - butterfly,1,SD66251240
Callophrys rubi,insect - butterfly,1,SD66231233
Pieris napi,insect - butterfly,1,SD66201228
Inachis io,insect - butterfly,1,SD66201228
Callophrys rubi,insect - butterfly,1,SD66201228
Lycaena phlaeas,insect - butterfly,1,SD66151219
Callophrys rubi,insect - butterfly,1,SD66141217
Anthocharis cardamines,insect - butterfly,1,SD66041200
Pieris napi,insect - butterfly,1,SD66021196
Inachis io,insect - butterfly,1,SD65961188
Aglais urticae,insect - butterfly,1,SD65841177
Aglais urticae,insect - butterfly,1,SD65841175
Inachis io,insect - butterfly,1,SD65881127
Pieris brassicae,insect - butterfly,2,SD65901125
Anthocharis cardamines,insect - butterfly,1,SD65901125
Pieris brassicae,insect - butterfly,1,SD65531186
Pieris napi,insect - butterfly,20,SD65531186
Anthocharis cardamines,insect - butterfly,4,SD65531186
Inachis io,insect - butterfly,3,SD65531186
Gonepteryx rhamni,insect - butterfly,1,SD65531186
Callophrys rubi,insect - butterfly,1,SD65431199
Inachis io,insect - butterfly,1,SD65411207
Inachis io,insect - butterfly,3,SD65411209
Anthocharis cardamines,insect - butterfly,1,SD65321216
Pieris napi,insect - butterfly,1,SD66121257
Callophrys rubi,insect - butterfly,2,SD66321261
Callophrys rubi,insect - butterfly,1,SD66401262
Anthocharis cardamines,insect - butterfly,1,SD61191223
Anthocharis cardamines,insect - butterfly,1,SD65911124
Pieris napi,insect - butterfly,1,SJ41579040
Pararge aegeria,insect - butterfly,2,SJ41789038
Pararge aegeria,insect - butterfly,2,SJ41799034
Pieris rapae,insect - butterfly,1,SJ41769028
Inachis io,insect - butterfly,1,SJ41699019
Vanessa atalanta,insect - butterfly,1,SD65891140
Pieris napi,insect - butterfly,2,SD65641166
Pieris brassicae,insect - butterfly,1,SD65641166
Pararge aegeria,insect - butterfly,1,SD65611170
Anthocharis cardamines,insect - butterfly,1,SD65611170
Pieris brassicae,insect - butterfly,1,SD65611170
Inachis io,insect - butterfly,1,SD65541187
Lycaena phlaeas,insect - butterfly,1,SD65541187
Pieris napi,insect - butterfly,4,SD65541187
Anthocharis cardamines,insect - butterfly,6,SD65541187
Pieris brassicae,insect - butterfly,1,SD65521191
Anthocharis cardamines,insect - butterfly,1,SD65521191
Lycaena phlaeas,insect - butterfly,1,SD65441198
Anthocharis cardamines,insect - butterfly,1,SD65421199
Lycaena phlaeas,insect - butterfly,1,SD65421199
Lycaena phlaeas,insect - butterfly,2,SD65411200
Inachis io,insect - butterfly,1,SD65121214
Anthocharis cardamines,insect - butterfly,1,SD65131214
